NÚM.,NÚMERO DE IDENTIFICACIÓN,CARÁCTER,NOMBRE,SIGLAS DEPENDENCIA O ENTIDAD,ESTATUS,FECHA JUNTA DE ACLARACIONES,FECHA DE PRESENTACIÓN Y APERTURA DE PROPOSICIONES,TIPO DE PUBLICACIÓN,TIPO DE CONTRATACIÓN,CÓDIGO DE EXPEDIENTE,UNIDAD COMPRADORA,ENTIDAD FEDERATIVA
301,AA-11-B00-011B00001-N-4265-2023,NACIONAL,CONTRATACIÓN DE SERVICIOS PROFESIONALES PARA LA ESIME AZCAPOTZALCO,IPN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00078402,011B00001 - DIRECCION DE RECURSOS MATERIALES E INFRAESTRUCTURA,CIUDAD DE MÉXICO
302,AA-38-9ZU-0389ZU001-N-227-2023,NACIONAL,"ESTIMACIÓN ÚNICA  DEL CONTRATO RM2020/040 ""CONSTRUCCIÓN  DE LABORATOR",CIDESI,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00074901,0389ZU001 - SUBDIRECCION DE RECURSOS MTERIALES Y SERVICIOS GENERALES,QUERÉTARO
303,AA-51-GYN-051GYN029-N-82-2023,NACIONAL,SERVICIO DE MANETENIMIENTO Y RECARGA DE EXTINTORES EN LOS DIFERENTES CENTROS DE,ISSSTE,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00077384,051GYN029 - DEPARTAMENTO DE RECURSOS MATERIALES Y OBRAS,CAMPECHE
304,AA-08-VSS-008VSS980-N-270-2023,NACIONAL,PRODUCTOS DIVERSOS,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00078010,008VSS980 - UNIDAD OPERATIVA GUERRERO - ABASTO,GUERRERO
305,AA-48-410-048410003-N-1691-2023,NACIONAL,SERVICIOS PROFESIONALES CONSISTENTES EN COADYUVAR EN LA COORDINACIÓN DE PROCESOS,CULTURA,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00077724,048410003 - DEPARTAMENTO DE COMITE,CIUDAD DE MÉXICO
306,AA-12-NBT-012NBT999-N-208-2023,NACIONAL,SERVICIOS PROFESIONALES DE APOYO ADMINISTRATIVO,IMSS-BIENESTAR,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00032108,"056AYO936 - DIRECCION DE ADMINISTRACION Y FINANZAS, SUBDIRECCION DE RECURSOS MATERIALES",TAMAULIPAS
307,AO-72-017-913041994-N-29-2023,NACIONAL,"REHABILITACIÓN GENERAL DE AULAS Y REHABILITACIÓN GENERAL DE SANITARIOS, EN EL  P",INHIFE,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,OBRA PÚBLICA,E-2023-00032710,"913041994 - DIRECCIÓN DE PRESUPUESTOS, PROYECTOS Y COSTOS",HIDALGO
308,AA-11-L5N-011L5N002-N-28-2023,NACIONAL,PRESTACIÓN DEL SERVICIO DE ARBITRAJE DE BÁSQUETBOL,COLBACH,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00032482,011L5N002 - UNIDAD DE ADMINISTRACION Y FINANZAS,CIUDAD DE MÉXICO
309,AA-51-GYN-051GYN013-T-29-2023,INTERNACIONAL BAJO LA COBERTURA DE TRATADOS,AA-51-GYN-051GYN013-T-29-2023 ADJ. DIRECTA BIOPSIA 10 CLAV. SPPS ART.41 FRAC.II,ISSSTE,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00099623,051GYN013 - JEFATURA DE SERVICIOS DE ADQUISICION DE MATERIAL DE CURACION,CIUDAD DE MÉXICO
310,AA-08-VSS-008VSS983-N-505-2023,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00111440,008VSS983 - DIRECCIÓN DE COMERCIALIZACIÓN,MÉXICO
