NÚM.,NÚMERO DE IDENTIFICACIÓN,CARÁCTER,NOMBRE,SIGLAS DEPENDENCIA O ENTIDAD,ESTATUS,FECHA JUNTA DE ACLARACIONES,FECHA DE PRESENTACIÓN Y APERTURA DE PROPOSICIONES,TIPO DE PUBLICACIÓN,TIPO DE CONTRATACIÓN,CÓDIGO DE EXPEDIENTE,UNIDAD COMPRADORA,ENTIDAD FEDERATIVA
1095,AA-08-VSS-008VSS996-N-176-2024,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00063099,008VSS996 - SUBGERENCIA DE U.O.TUXTLA ABASTO,CHIAPAS
1096,AA-15-412-015000999-N-1242-2024,NACIONAL,PRESTADOR DE SERVICIOS,SEDATU,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00061652,015000999 - DIRECCION GENERAL DE RECURSOS MATERIALES Y SERVICIOS GENERALES,CIUDAD DE MÉXICO
1097,AA-13-J3F-013J3F001-N-21-2024,NACIONAL,CURSO PBIP,	ASIPONA-COATZACOALCOS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00062802,013J3F001 - JEFATURA DE RECURSOS MATERIALES,VERACRUZ
1098,AA-08-VSS-008VSS977-N-226-2024,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00074263,"008VSS977 - UNIDAD OPERATIVA NAYARIT, ABASTO",NAYARIT
1099,AA-13-312-013000999-N-952-2024,NACIONAL,NAC 13-0595/24 REQ 1153 CTL00130OR MANTENIMIENTO Y CONSERVACION DE MAQUINARIA Y,SEMAR,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00071905,013000999 - DIRECCION GENERAL ADJUNTA DE ADQUISICIONES,CIUDAD DE MÉXICO
1100,AA-08-VSS-008VSS972-N-373-2024,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00076061,008VSS972 - UNIDAD OPERATIVA ACAYUCAN,VERACRUZ
1101,AA-09-J9E-009J9E998-N-32-2024,NACIONAL,MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE PARQUE VEHICULAR,SEPOMEX,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00075346,055J9E998 - DIRECCIÓN REGIONAL CENTRO,QUERÉTARO
1102,AA-48-L6U-048L6U001-N-201-2024,NACIONAL,SERVICIOS PROFESIONALES (AUX. CONTABLE/ARCHIVO),CECUT,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00068143,048L6U001 - GERENCIA DE RECURSOS MATERIALES,BAJA CALIFORNIA
1103,AA-50-GYR-050GYR058-N-115-2024,NACIONAL,N115 SERVICIO DE FOTOCOPIADO Y DUPLICACION,IMSS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00072783,"050GYR058 - UMAE HOSPITAL DE ESPECIALIDADES NO. 1 CMN BAJIO, DEPARTAMENTO DE ABASTECIMIENTO",GUANAJUATO
1104,AA-72-R58-913023990-N-61-2024,NACIONAL,SUPERVISIÓN DE CONSTRUCCIÓN DE SISTEMA INTEGRAL DE AGUA POTABLE SAN AGUSTÍN METZ,CEAA,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00075972,913023990 - SUBDIRECCIÓN DE LICITACIONES Y PRECIOS UNITARIOS,HIDALGO
1105,AA-08-VSS-008VSS968-N-211-2024,NACIONAL,MEZCLA LECHE C/GRASA VEG. RED. EN GRASA,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00076237,008VSS968 - UNIDAD OPERATIVA TAPACHULA ABASTO,CHIAPAS
1106,AA-08-VSS-008VSS982-N-36-2024,NACIONAL,PRODUCTOS DIVERSOS,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00068373,008VSS982 - UNIDAD OPERATIVA MORELOS,MORELOS
1107,AA-13-J3A-013J3A001-N-228-2024,NACIONAL,"SERVICIO DE ALIMENTOS, PARA LA CUARTA REUNIÓN INFORMATIVA.",	ASIPONA-LÁZARO CÁRDENAS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00076788,013J3A001 - LAZARO CARDENAS-GERENCIA DE ADMINISTRACION Y FINANZAS,MICHOACÁN DE OCAMPO
1108,AA-12-I00-012I00999-N-5-2024,NACIONAL,SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO A MAQUINARIA ELECTRICA DEL CEN,CNTS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00068154,012I00999 - CENTRO NACIONAL DE LA TRANSFUSION SANGUINEA,CIUDAD DE MÉXICO
1109,AA-13-312-013000999-N-904-2024,NACIONAL,NAC 13-0696/24 REQ 1289 UNAV07OR PARA UTILIZARSE EN: MANTENIMIENTO Y CONSERVACIÓ,SEMAR,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00070110,013000999 - DIRECCION GENERAL ADJUNTA DE ADQUISICIONES,CIUDAD DE MÉXICO
1110,AA-50-GYR-050GYR058-I-170-2024,INTERNACIONAL ABIERTO,I170 ADJUDICACIÓN DIRECTA DE MATERIALES ACCESORIOS Y SUMINISTROS DE LABORATORIO,IMSS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00078277,"050GYR058 - UMAE HOSPITAL DE ESPECIALIDADES NO. 1 CMN BAJIO, DEPARTAMENTO DE ABASTECIMIENTO",GUANAJUATO
1111,AA-08-VSS-008VSS970-N-122-2024,NACIONAL,ABARROTES NO COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00075566,008VSS970 - SUBGERENCIA DE UNIDAD OPERATIVA BAJA CALIFORNIA NORTE,BAJA CALIFORNIA
1112,AA-08-VSS-008VSS972-N-265-2024,NACIONAL,HARINA DE MAIZ NIXTAMALIZADO BLANCA,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00068054,008VSS972 - UNIDAD OPERATIVA ACAYUCAN,VERACRUZ
1113,AA-11-B01-011B01001-N-2673-2024,NACIONAL,ASISTENTE DE EDICIÓN,ONCETV,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00070919,011B01001 - DIRECCION DE ADMINISTRACION Y FINANZAS,CIUDAD DE MÉXICO
1114,AA-08-VSS-008VSS998-N-622-2024,NACIONAL,"ABARROTES NO COMESTIBLES, MERCANCIAS GENERALES",APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00071977,008VSS998 - DIRECCIÓN COMERCIAL,CIUDAD DE MÉXICO
1115,AA-08-VSS-008VSS974-N-261-2024,NACIONAL,PRODUCTOS DIVERSOS,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00079912,008VSS974 - UNIDAD OPERATIVA COAHUILA,COAHUILA DE ZARAGOZA
1116,AO-50-GYR-050GYR110-N-26-2025,NACIONAL,ADECUACION DE AULA DE ENSEÑANZA (CALIDAD) DEL HGR 2,IMSS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,OBRA PÚBLICA,E-2025-00057044,050GYR110 - JEFATURA DE SERVICIOS ADMINISTRATIVOS DELEGACION QUERETARO,QUERÉTARO
1117,AA-51-GYN-051GYN057-N-25-2025,NACIONAL,"ACTIVIDADES EDUCATIVAS Y RECREATIVAS, PRESENTACIONES ESCÉNICAS EN VIVO",ISSSTE,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2025-00057536,051GYN057 - SUBDELEGACION DE ADMINISTRACION,ZACATECAS
1118,AA-51-GYN-051GYN017-N-42-2025,NACIONAL,ADQUISICIÓN DE MATERIALES COMPLEMENTARIOS PARA EL ISSSTE EN QUINTANA ROO,ISSSTE,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2025-00063978,051GYN017 - DEPARTAMENTO DE RECURSOS MATERIALES Y OBRAS EN QUINTANA ROO,QUINTANA ROO
1119,AO-50-GYR-050GYR064-N-48-2025,NACIONAL,DICTAMEN ESTRUCTURAL DE LA EX CLÍNICA 1 EN ORIZABA. VER.,IMSS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS RELACIONADOS CON LA OBRA,E-2025-00089607,"050GYR064 - DEPARTAMENTO DE CONSTRUCCION Y PLANEACION INMOBILIARIA, ÓOAD REGIONAL VERACRUZ SUR",VERACRUZ
1120,AA-08-VSS-008VSS974-N-43-2025,NACIONAL,"GANADO LECHERO 12% (ROLADO),GANADO ENGORDA EN CORRAL,SALVADILLO BULTO",APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2025-00083053,008VSS974 - UNIDAD OPERATIVA COAHUILA,COAHUILA DE ZARAGOZA
1121,AA-11-MAX-011MAX001-N-511-2025,NACIONAL,PAPEL COUCHE,IEPSA,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2025-00090214,011MAX001 - SUBGERENCIA DE ADQUISICIONES Y CONTRATACION DE SERVICIOS,CIUDAD DE MÉXICO
1122,AA-06-A00-006A00997-N-603-2023,NACIONAL,01-23-195 SERVICIOS PROFESIONALES PARA LA ELABORACIÓN  DE AVALÚOS,INDAABIN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00036142,006A00997 - DIRECCIÓN GENERAL DE AVALÚOS Y OBRAS,CIUDAD DE MÉXICO
1123,AA-48-410-048410003-N-1333-2023,NACIONAL,SERVICIOS PROFESIONALES CONSISTENTES EN COADYUVAR CON LA DIRECCIÓN GENERAL,CULTURA,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00035206,048410003 - DEPARTAMENTO DE COMITE,CIUDAD DE MÉXICO
1124,AA-38-91S-03891S999-N-109-2023,NACIONAL,SERVICIOS PROFESIONALES,MORA,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00034665,03891S999 - DIR. ADMON. Y FINANZAS - DEPARTAMENTO DE RECURSOS MATERIALES Y SERVICIOS GENERALES,CIUDAD DE MÉXICO
1125,AA-12-NBT-012NBT999-N-370-2023,NACIONAL,SERVICIOS PROFESIONALES DE APOYO ADMINISTRATIVO,IMSS-BIENESTAR,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00036226,"056AYO936 - DIRECCION DE ADMINISTRACION Y FINANZAS, SUBDIRECCION DE RECURSOS MATERIALES",TAMAULIPAS
1126,AA-12-NBT-012NBT999-N-340-2023,NACIONAL,SERVICIOS PROFESIONALES DE ENFERMERIA,IMSS-BIENESTAR,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00034711,"056AYO936 - DIRECCION DE ADMINISTRACION Y FINANZAS, SUBDIRECCION DE RECURSOS MATERIALES",TAMAULIPAS
1127,AA-20-151-020000992-N-50-2023,NACIONAL,IMPRESIÓN DE MATERIAL DE APOYO E INFORMATIVO CIEM015,BIENESTAR,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00035635,"020000992 - DELEGACION YUCATAN, SUBDELEGACION DE ADMINISTRACION",YUCATÁN
1128,AA-08-VSS-008VSS008-N-210-2023,NACIONAL,HARINA DE TRIGO,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00036351,008VSS008 - SUBGERENCIA OPERACIONES REGIONAL NORTE CENTRO,CHIHUAHUA
1129,AA-11-B00-011B00001-N-2504-2024,NACIONAL,PRESTACIÓN DE SERVICIOS PROFESIONALES,IPN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00031197,011B00001 - DIRECCION DE RECURSOS MATERIALES E INFRAESTRUCTURA,CIUDAD DE MÉXICO
1130,AA-08-VSS-008VSS996-N-78-2024,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00033092,008VSS996 - SUBGERENCIA DE U.O.TUXTLA ABASTO,CHIAPAS
1131,AA-08-JBK-008JBK001-N-22-2024,NACIONAL,SERVICIO DE REPARACIÓN MAYOR DEL ULTRACONGELADOR MARCA REVCO,PRONABIVE,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00030981,008JBK001 - DIRECCIÓN DE PLANEACIÓN Y ADMINISTRACIÓN,CIUDAD DE MÉXICO
1132,AA-50-GYR-050GYR049-T-61-2024,INTERNACIONAL BAJO LA COBERTURA DE TRATADOS,AA-UMAE- DVFN-2024,IMSS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00034733,"050GYR049 - UMAE DR. VICTORIO DE LA FUENTE NARVAEZ CIUDAD DE MEXICO, DIRECCION",CIUDAD DE MÉXICO
1133,AA-50-GYR-050GYR012-N-366-2023,NACIONAL,PARA LA CONTRATACIÓN DEL SERVICIO DE MANTENIMIENTO CORRECTIVO A UNIDAD PAQUETE,IMSS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00125046,050GYR012 - COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO,COLIMA
1134,AA-38-90G-03890G999-N-18-2024,NACIONAL,"SERVICIO DE MANTENIMIENTO A CÁMARAS DE ENVEJECIMIENTO POR XENÓN, UV Y NIEBLA SAL",CIATEC,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00080336,03890G999 - SUBDIRECCION DE RECURSOS MATERIALES Y SERVICIOS,GUANAJUATO
1135,AA-08-VSS-008VSS977-N-232-2024,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00074770,"008VSS977 - UNIDAD OPERATIVA NAYARIT, ABASTO",NAYARIT
1136,AA-08-VSS-008VSS989-N-193-2024,NACIONAL,HARINA DE MAIZ SEGALMEX,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00079935,008VSS989 - SUCURSAL CENTRO-NORTE SUBGERENCIA DE ABASTO,ZACATECAS
1137,AA-38-90E-03890E999-N-161-2024,NACIONAL,SERVICIO PREVENTIVO ESPECTROFLUROMETRO HORIBA,CIMAV,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00079952,03890E999 - DIRECCION DE ADMINISTRACION Y FINANZAS,NUEVO LEÓN
1138,AA-08-VSS-008VSS988-N-104-2024,NACIONAL,HARINA DE TRIGO,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00077925,008VSS988 - UNIDAD OPERATIVA ISTMO-COSTA,OAXACA
1139,AA-51-GYN-051GYN041-N-52-2024,NACIONAL,MATERIAL DE CURACIÓN DE ALTA ESPECIALIDAD,ISSSTE,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00078925,051GYN041 - CENTRO MEDICO NACIONAL 20 DE NOVIEMBRE,CIUDAD DE MÉXICO
1140,AO-48-D00-048D00004-N-89-2024,NACIONAL,"INTERVENCION DE PALACIO DE CORTES PRIMER NIVEL, CUERNAVACA MORELOS",INAH,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,OBRA PÚBLICA,E-2024-00089282,048D00004 - COORDINACION NACIONAL DE OBRAS Y PROYECTOS,CIUDAD DE MÉXICO
1141,AA-08-VSS-008VSS977-N-335-2024,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00085879,"008VSS977 - UNIDAD OPERATIVA NAYARIT, ABASTO",NAYARIT
1142,AA-08-VSS-008VSS998-N-841-2024,NACIONAL,MAIZ BLANCO,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00083862,008VSS998 - DIRECCIÓN COMERCIAL,CIUDAD DE MÉXICO
1143,AA-08-VSS-008VSS998-N-888-2023,NACIONAL,"ABARROTES COMESTIBLES, ABARROTES NO COMESTIBLES, MERCANCIAS GENERALES",APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00081480,008VSS998 - DIRECCIÓN COMERCIAL,CIUDAD DE MÉXICO
1144,AA-08-VSS-008VSS007-N-172-2024,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00083228,"008VSS007 - SUBGERENCIA REGIONAL NOROESTE, UNIDAD OPERATIVA CULIACÁN",SINALOA
1145,AA-13-J3A-013J3A001-N-263-2024,NACIONAL,SERVICIOS ENTERPRISE HYBRID CLOUD.,	ASIPONA-LÁZARO CÁRDENAS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00083412,013J3A001 - LAZARO CARDENAS-GERENCIA DE ADMINISTRACION Y FINANZAS,MICHOACÁN DE OCAMPO
1146,AA-11-B00-011B00001-N-5655-2024,NACIONAL,PRESTACIÓN DE SERVICIOS PROFESIONALES ESIQIE-PSP-791-2024,IPN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00084381,011B00001 - DIRECCION DE RECURSOS MATERIALES E INFRAESTRUCTURA,CIUDAD DE MÉXICO
1147,AA-06-A00-006A00997-N-1799-2024,NACIONAL,02-24-103   SERVICIOS PROFESIONALES PARA LA ELABORACIÓN DEL AVALÚO,INDAABIN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00081986,006A00997 - DIRECCIÓN GENERAL DE AVALÚOS Y OBRAS,CIUDAD DE MÉXICO
1148,AA-08-VSS-008VSS976-N-276-2024,NACIONAL,ABARROTES NO COMESTIBLES MERCANCIAS GENERALES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00080933,"008VSS976 - UNIDAD OPERATIVA MIXTECA, ABASTO",OAXACA
1149,AA-15-412-015000999-N-1347-2023,NACIONAL,PRESTADOR DE SERVICIOS,SEDATU,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00074450,015000999 - DIRECCION GENERAL DE RECURSOS MATERIALES Y SERVICIOS GENERALES,CIUDAD DE MÉXICO
1150,AO-86-I69-827004998-N-61-2023,NACIONAL,"K0554.- REHABILITACIÓN INTEGRAL DE CRUCEROS, EN LA CIUDAD DE VILLAHERMOSA",086I69,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,OBRA PÚBLICA,E-2023-00077909,"827004998 - DIRECCION DE OBRAS, ORDENAMIENTO TERRITORIAL Y SERVICIOS MUNICIPALES",TABASCO
1151,AA-11-B00-011B00001-N-4234-2023,NACIONAL,"SERVICIO DE DIFUSIÓN DE LA CAMPAÑA “ACTIVIDADES DEPORTIVAS"", VERSIÓN ""CARRERA IP",IPN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00078634,011B00001 - DIRECCION DE RECURSOS MATERIALES E INFRAESTRUCTURA,CIUDAD DE MÉXICO
1152,AA-21-W3S-021W3S002-N-173-2023,NACIONAL,CEMENTO Y PRODUCTOS DE CONCRETO,FONATUR-INFRAESTRUCTURA,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00077326,"021W3S002 - GERENCIA CENTRAL, SUBGERENCIA DE ADQUISICIONES",QUINTANA ROO
1153,AA-13-J4V-013J4V001-N-59-2023,NACIONAL,"INSTRUCTOR ACADÉMICO PARA FORMACIÓN, ACTUALIZACIÓN Y/O CAPACITACIÓN",FIDENA,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00077390,013J4V001 - DIRECCION DE ADMINISTRACION Y FINANZAS,CIUDAD DE MÉXICO
1154,AA-13-J4V-013J4V001-N-57-2023,NACIONAL,"INSTRUCTOR ACADÉMICO PARA FORMACIÓN, ACTUALIZACIÓN Y/O CAPACITACIÓN",FIDENA,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00077411,013J4V001 - DIRECCION DE ADMINISTRACION Y FINANZAS,CIUDAD DE MÉXICO
1155,AA-12-M7A-012M7A001-N-215-2023,NACIONAL,ADQUISICIÓN DE BIENES PARA LOS PROYECTOS DE INVESTIGACIÓN DEL HOSPITAL REGIONAL,IMSS-BIENESTAR,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00078924,056AYO939 - DIRECCION DE ADMINISTRACION Y FINANZAS,CHIAPAS
1156,AA-48-D00-048D00001-N-486-2023,NACIONAL,"SERVICIO PROFESIONAL ESPECIALIZADO EN ORGANIZACIÓN DOCUMENTAL, HISTORIA Y CONSER",INAH,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00075611,048D00001 - COORDINACION NACIONAL DE RECURSOS MATERIALES Y SERVICIOS,CIUDAD DE MÉXICO
1157,AA-50-GYR-050GYR998-T-120-2023,INTERNACIONAL BAJO LA COBERTURA DE TRATADOS,ABTA2337ES04060168 GSE,IMSS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00031947,"050GYR998 - UMAE, HOSPITAL DE ESPECIALIDADES, C.M.N. SIGLO XXI",CIUDAD DE MÉXICO
1158,AA-04-812-004000998-N-40-2023,NACIONAL,SOPORTE A LA OPERACIÓN DEL CÓMPUTO CENTRAL,SEGOB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00031089,004000998 - DIRECCIÓN GENERAL DE RECURSOS MATERIALES Y SERVICIOS GENERALES,CIUDAD DE MÉXICO
1159,AA-48-MHL-048MHL001-N-123-2023,NACIONAL,SERVICIOS PROFESIONALES DE COORDINACIÓN DE INVITADOS ENLACE DE INFORMACIÓN,TVMETRO,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00032782,048MHL001 - DIRECCION DE ADMINISTRACION,CIUDAD DE MÉXICO
1160,AA-50-GYR-050GYR058-I-205-2023,INTERNACIONAL ABIERTO,I205 ADJUDICACIÓN DIRECTA DE MATERIALES ACCESORIOS Y SUMINISTROS MÉDICOS,IMSS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00032369,"050GYR058 - UMAE HOSPITAL DE ESPECIALIDADES NO. 1 CMN BAJIO, DEPARTAMENTO DE ABASTECIMIENTO",GUANAJUATO
1161,AA-38-91E-03891E997-I-16-2023,INTERNACIONAL ABIERTO,SERVICIO DE SECUENCIACION BIDIRECCIONAL PROYECTO 43153 DE ECOSUR UNIDAD CHETUMAL,ECOSUR,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00032930,"03891E997 - UNIDAD CHETUMAL, RECURSOS MATERIALES Y SERVICIOS GENERALES",QUINTANA ROO
1162,AA-51-GYN-051GYN022-N-22-2023,NACIONAL,SERVICIO DE FUMIGACIÓN,ISSSTE,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00104510,051GYN022 - DEPARTAMENTO DE RECURSOS MATERIALES Y OBRAS,TLAXCALA
1163,AA-06-E00-006E00021-N-10-2023,NACIONAL,MANTENIMIENTO A MAQUINARIA Y EQUIPO,SAT,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00099108,006E00021 - SUBADMINISTRACION DE RECURSOS Y SERVICIOS,TAMAULIPAS
1164,AA-48-E00-048E00995-N-884-2025,NACIONAL,DIRECCIÓN ARTISTICA DE LA OBRA DE TEATRO “CIVIL”,INBAL,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2025-00059380,048E00995 - DIRECCION DE RECURSOS MATERIALES,CIUDAD DE MÉXICO
1165,AA-55-J9E-055J9E997-N-18-2025,NACIONAL,SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE VEHÍCULOS MOTOCICLETAS 125C,SEPOMEX,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2025-00057327,055J9E997 - DIRECCIÓN REGIONAL SUR,PUEBLA
1166,AA-11-L6W-011L6W973-N-7-2025,NACIONAL,REFACCIONES Y ACCESORIOS MENORES DE EQUIPO DE TRANSPORTE,CONAFE,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2025-00059489,011L6W973 - COORDINACIÓN TERRITORIAL PARA EL SERVICIO EDUCATIVO DEL CONAFE EN CHIHUAHUA,CHIHUAHUA
1167,AA-12-NDY-012NDY001-N-672-2025,NACIONAL,REALIZACIÓN DEL LEVANTAMIENTO DE  INFORMACIÓN DEL  CUESTIONARIO DE HOGAR,INSP,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2025-00066050,012NDY001 - DEPARTAMENTO DE SERVICIOS GENERALES Y MANTENIMIENTO,MORELOS
1168,AA-48-410-048410003-N-1179-2025,NACIONAL,PRESTAR SERVICIOS PROFESIONALES EN LA COORDINACIÓN DEL SISTEMA NACIONAL DE FOMEN,CULTURA,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2025-00068580,048410003 - DEPARTAMENTO DE COMITE,CIUDAD DE MÉXICO
1169,AA-81-003-922017981-N-79-2025,NACIONAL,MATERIAL PARA MANTENIMIENTO Y REHABILITACIÓN,COBAQ,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2025-00095301,922017981 - DIRECCIÓN ADMINISTRATIVA,QUERÉTARO
1170,AA-08-VSS-008VSS977-N-342-2025,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2025-00100386,"008VSS977 - UNIDAD OPERATIVA NAYARIT, ABASTO",NAYARIT
1171,AO-68-021-909004999-N-137-2025,NACIONAL,REHABILITACIÓN DE LA INFRAESTRUCTURA HIDRÁULICA EN DIVERSAS ALCALDÍAS DE LA CDMX,SEDEMA,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,OBRA PÚBLICA,E-2025-00101236,909004999 - SISTEMA DE AGUAS DE LA CIUDAD DE MÉXICO,CIUDAD DE MÉXICO
1172,AA-08-VSS-008VSS978-N-5-2026,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2026-00006005,"008VSS978 - UNIDAD OPERATIVA POZA RICA, ABASTO",VERACRUZ
1173,AA-51-GYN-051GYN074-N-41-2026,NACIONAL,SERVICIOS MEDICOS SUBROGADOS,ISSSTE,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2026-00006239,"051GYN074 - DELEGACIÓN ESTATAL MICHOACÁN, SUBDELEGACIÓN DE ADMINISTRACIÓN",MICHOACÁN DE OCAMPO
